Author,Text,Rating,NormalizedRating
R Deu,There are  separate areas with arm chairs and TV for relaxing and working the other with other arm chairs PC computer TV bar and sitting area. There are newspapers and magazines also some airline magazines. Decoration is fresh and modern. It is clean and well maintained. Bottled drinks coffee machine cheese and salad sandwiches and sweets. This is a very small airport serving about  flights a day and the lounge is fine and over the quality of other airlines I visited in the past. If they provide a better coffee machine and a wider choice of snacks it would be quite an interesting lounge to relax.,3,-0.232618709
Andreas Kar,"It is a small, dark, windowless lounge located on the rd floor, accessible via elevator. The bar is well equipped with soft drinks, coffee, wines and biers.",5,1.333657488
A Diakomichalis,Both of the lounges have the same food (sandwiches yogurt cheese cheese pie fruits) and beverages (all sorts of coffee tea  bottled drinks alcoholic drinks  Greek wine) .The decoration in Thessaloniki is very stylish and the bathroom too . Athens is nice but probably needs to be updated.,5,1.333657488
R Deu,The lounge was clean and the decor is up to date with colourful chairs. Only one PC and mainly empty bar. Food is some sandwiches cheese and nuts. A lot needs to be improved. I went to Lufthansa lounge where hot food was provided.,2,-1.015756808
Petros Papadopoulos,Big and spacious lounge. Comfy sofas and a nice variety of food/drinks. The lounge was recently refurbished and looks very stylish. stuff very friendly and they let you know when your flight starts boarding.,5,1.333657488
D Bissett,Surprisingly pleasant lounge. If traveling through Greece Thessaloniki makes a much better transfer point than Athens and this lounge was quite comfy and pleasant. The shuttle from the lounge to our flight is nice. Aegean Airlines was a pleasant host on our trip to Greece.,4,0.550519389
Christos Louis,"Large well lit lounge with a separate smoking area. It can be crowded at times but it is still relatively quiet unless somebody starts screaming into hes/her cell phone. Sandwiches ice cream cheese peanuts and croissants are always there and the bar is so so (no champagne!) with good espresso. Three computers are available and lately free Wi-fi is also provided. Relatively comfortable ""wire"" seats are available at round tables but if one sits at one of the sofas the risk of falling asleep is high. Careful lots of walking to some gates (especially B and ) and sometimes lengthy security screen is after the lounge. Overall though a good lounge.",4,0.550519389
S Nichols,Nice spacious area. Wifi is fine. Quiet. Self-serve food and bar area but limited offering for food. For breakfast - cereals and Danish. Staffing need some schooling on customer service a smile goes a long way but no-one was cracking even a small grin. No direction on the layout.,3,-0.232618709
U Wright,Paid Â£ for Are Lingus Lounge use for myself and my daughter on way to New York from Belfast via Dublin Airport. Couldn't believe such poor food offer at breakfast time.  cereals in plastic dispensers and a shared bowl of fruit salad to cater for everyone. Some small croissants only and not nice taste at that. Nothing else. Also poor reception from staff. What a rip off.,3,-0.232618709
Alan Wan,Much nicer lounge than the old terminal . There was lots of light from the floor to ceiling windows and good views of the runaway. However the choice of food (we were there -.am) was very limited: cereals croissants cheese and crackers. No bread or porridge. However the coffee was decent and if you really fancied it there was a good choice of alcohol.,4,0.550519389
D Boyne,On return to UK visited Aer Lingus lounge. Clean and pleasant enough. Limited facilities and far from gates buried somewhere in terminal . At euros per person it is very poor value.,3,-0.232618709
Sean Leonard,Regularly used this lounge in the past year always found it good used it Saturday th October and what a change for the worse no longer provide sandwiches (told they can't find a supplier by one of the staff) so lukewarm soup and brown bread all that was available. No small bottles of sparking water only big bottles that had been opened all day gone flat. A woman told me in bad English that they have stopped the bottles of sparkling water as the airline loses revenue on onboard sales. Felt the whole experience was a let down. Aer Lingus you've done better in the past this is terrible.,2,-1.015756808
Steve Patten,"Surly and unfriendly receptionists . On my Aer Lingus prestige my wife and I were permitted entry but told my two young children would not be allowed in. Never experienced that in a Gold Circle. So we sat outside and went in to get refreshments. They then watched us and it felt like we were being ""watched"" the entire time. Not even a great lounge. Very budget.",1,-1.798894906
F Hogan,"The Oasis lounge seems to be shared amongst all the users of T at JFK. I didn't see any other lounges. Because of that lack of competition it seems that the staff are just not bothered. The ""welcome"" is perfunctory at best and at worst is really an entitlement check after whether the staff lose interest in the passenger. Signage is poor no times/distances to various gates no advertising other facilities to passengers. Trying to plug in an iPhone charger was tricky as the first  sockets I found were both broken exposing the innards of the socket wiring. Seating in the quiet area was not very comfortable. All in all I wouldn't be rushing back.",3,-0.232618709
